FailureToTreatPercentage,UnnecessaryUsePercentage,Sample,Prevalence
0.0035726410061591683,0.6575680175883865,1,0.05
0.0035726410061591683,0.6575680175883865,2,0.05
0.0013983413892885432,0.7081588774470974,3,0.05
0.0013983413892885432,0.7081588774470974,4,0.05
0.0013983413892885432,0.7081588774470974,5,0.05
0.0013983413892885432,0.7081588774470974,6,0.05
0.0035726410061591683,0.6575680175883865,7,0.05
0.0013983413892885432,0.7081588774470974,8,0.05
0.0013983413892885432,0.7081588774470974,9,0.05
0.0013983413892885432,0.7081588774470974,10,0.05
0.0013983413892885432,0.7081588774470974,11,0.05
0.0013983413892885432,0.7081588774470974,12,0.05
0.0013983413892885432,0.7081588774470974,13,0.05
0.0035726410061591683,0.6575680175883865,14,0.05
0.0035726410061591683,0.6575680175883865,15,0.05
0.0013983413892885432,0.7081588774470974,16,0.05
0.0013983413892885432,0.7081588774470974,17,0.05
0.0013983413892885432,0.7081588774470974,18,0.05
0.0013983413892885432,0.7081588774470974,19,0.05
0.0013983413892885432,0.7081588774470974,20,0.05
0.0013983413892885432,0.7081588774470974,21,0.05
0.0013983413892885432,0.7081588774470974,22,0.05
0.0013983413892885432,0.7081588774470974,23,0.05
0.0013983413892885432,0.7081588774470974,24,0.05
0.0013983413892885432,0.7081588774470974,25,0.05
0.0013983413892885432,0.7081588774470974,26,0.05
0.0013983413892885432,0.7081588774470974,27,0.05
0.0013983413892885432,0.7081588774470974,28,0.05
0.0013983413892885432,0.7081588774470974,29,0.05
0.0013983413892885432,0.7081588774470974,30,0.05
0.0013983413892885432,0.7081588774470974,31,0.05
0.0013983413892885432,0.7081588774470974,32,0.05
0.0013983413892885432,0.7081588774470974,33,0.05
0.0035726410061591683,0.6575680175883865,34,0.05
0.0013983413892885432,0.7081588774470974,35,0.05
0.0013983413892885432,0.7081588774470974,36,0.05
0.0013983413892885432,0.7081588774470974,37,0.05
0.0013983413892885432,0.7081588774470974,38,0.05
0.0035726410061591683,0.6575680175883865,39,0.05
0.0013983413892885432,0.7081588774470974,40,0.05
0.0013983413892885432,0.7081588774470974,41,0.05
0.0013983413892885432,0.7081588774470974,42,0.05
0.0013983413892885432,0.7081588774470974,43,0.05
0.0013983413892885432,0.7081588774470974,44,0.05
0.0013983413892885432,0.7081588774470974,45,0.05
0.0013983413892885432,0.7081588774470974,46,0.05
0.0013983413892885432,0.7081588774470974,47,0.05
0.0013983413892885432,0.7081588774470974,48,0.05
0.0035726410061591683,0.6575680175883865,49,0.05
0.0013983413892885432,0.7081588774470974,50,0.05
0.0013983413892885432,0.7081588774470974,51,0.05
0.0035726410061591683,0.6575680175883865,52,0.05
0.0035726410061591683,0.6575680175883865,53,0.05
0.0035726410061591683,0.6575680175883865,54,0.05
0.0013983413892885432,0.7081588774470974,55,0.05
0.0013983413892885432,0.7081588774470974,56,0.05
0.0013983413892885432,0.7081588774470974,57,0.05
0.0013983413892885432,0.7081588774470974,58,0.05
0.0035726410061591683,0.6575680175883865,59,0.05
0.0035726410061591683,0.6575680175883865,60,0.05
0.0013983413892885432,0.7081588774470974,61,0.05
0.0013983413892885432,0.7081588774470974,62,0.05
0.0013983413892885432,0.7081588774470974,63,0.05
0.0035726410061591683,0.6575680175883865,64,0.05
0.0013983413892885432,0.7081588774470974,65,0.05
0.0035726410061591683,0.6575680175883865,66,0.05
0.0013983413892885432,0.7081588774470974,67,0.05
0.0013983413892885432,0.7081588774470974,68,0.05
0.0013983413892885432,0.7081588774470974,69,0.05
0.0013983413892885432,0.7081588774470974,70,0.05
0.0035726410061591683,0.6575680175883865,71,0.05
0.0013983413892885432,0.7081588774470974,72,0.05
0.0035726410061591683,0.6575680175883865,73,0.05
0.0013983413892885432,0.7081588774470974,74,0.05
0.0013983413892885432,0.7081588774470974,75,0.05
0.0035726410061591683,0.6575680175883865,76,0.05
0.0013983413892885432,0.7081588774470974,77,0.05
0.0013983413892885432,0.7081588774470974,78,0.05
0.0013983413892885432,0.7081588774470974,79,0.05
0.0013983413892885432,0.7081588774470974,80,0.05
0.0035726410061591683,0.6575680175883865,81,0.05
0.0013983413892885432,0.7081588774470974,82,0.05
0.0035726410061591683,0.6575680175883865,83,0.05
0.0013983413892885432,0.7081588774470974,84,0.05
0.0013983413892885432,0.7081588774470974,85,0.05
0.0013983413892885432,0.7081588774470974,86,0.05
0.0013983413892885432,0.7081588774470974,87,0.05
0.0035726410061591683,0.6575680175883865,88,0.05
0.0013983413892885432,0.7081588774470974,89,0.05
0.0013983413892885432,0.7081588774470974,90,0.05
0.0035726410061591683,0.6575680175883865,91,0.05
0.0035726410061591683,0.6575680175883865,92,0.05
0.0035726410061591683,0.6575680175883865,93,0.05
0.0013983413892885432,0.7081588774470974,94,0.05
0.0035726410061591683,0.6575680175883865,95,0.05
0.0013983413892885432,0.7081588774470974,96,0.05
0.0013983413892885432,0.7081588774470974,97,0.05
0.0013983413892885432,0.7081588774470974,98,0.05
0.0013983413892885432,0.7081588774470974,99,0.05
0.0013983413892885432,0.7081588774470974,100,0.05
