Prevalence,FailureToTreatPercentage,UnnecessaryUsePercentage
0.0,0.0,0.8382854556329717
0.002,0.0001293263712636803,0.81326161108327
0.004,0.00024394186779611696,0.7997413472574726
0.006,0.00032735737726119073,0.7883678203656703
0.008,0.0003811086503176579,0.7773791202573596
0.01,0.0004850547212208409,0.7672885917974749
0.012,0.0005455147997866115,0.7628637708336702
0.014,0.0006122795389514865,0.7580150018590666
0.016,0.0007129116215910376,0.7486871756737095
0.018000000000000002,0.0008792576666289464,0.7422889151134031
0.02,0.0009600866486687466,0.7386929145314344
0.022,0.0010377633004089947,0.7338633020255743
0.024,0.0011558544431691427,0.7284609353529801
0.026000000000000002,0.0012366025962269032,0.7256427520651805
0.028,0.0012926170807804845,0.7229917231122391
0.03,0.001336183902099937,0.7212020886208959
0.032,0.0014486978450993387,0.7176862703891106
0.034,0.0015549071274996362,0.7141537205580433
0.036000000000000004,0.0017015309009198337,0.7100484165602419
0.038,0.001795292520086002,0.7073772611907725
0.04,0.0018698976705087374,0.7054372039638532
0.042,0.002072778415428636,0.7003500703212143
0.044,0.0021567597277679885,0.6979876816631371
0.046,0.0022662829984319175,0.6956852681097334
0.048,0.002578848671979825,0.6900590051568891
0.05,0.0026632341292293763,0.6878101812185777
0.052000000000000005,0.0027851242341453953,0.6838720315556346
0.054,0.002863205030795842,0.682489855962754
0.056,0.002959957322297483,0.6801574548570134
0.058,0.003237766533568276,0.6755510111705653
0.06,0.0034746762799269305,0.6721815742252543
0.062,0.0036183093810116555,0.6692896749058341
0.064,0.003730904152993097,0.6674315782667033
0.066,0.00402495998965389,0.6632509416576408
0.068,0.004081216961153591,0.6622691120128033
0.07,0.004250068704634734,0.6594291857288348
0.07200000000000001,0.00466011413052264,0.6538427714641363
0.074,0.004918362728139802,0.6495780727137521
0.076,0.005186795777493977,0.6452318983494721
0.078,0.00536801435522721,0.6423083948980747
0.08,0.005514718957629447,0.6398608124929275
0.082,0.005664899206259396,0.637971111721819
0.084,0.006021516675018995,0.6332098805347646
0.08600000000000001,0.006343943484375758,0.6289325724631825
0.088,0.006736044876250829,0.6253580723904363
