Prevalence,FailureToTreatPercentage,UnnecessaryUsePercentage
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0,0.8382854556329717
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0035726410061591683,0.6575680175883865
0.02,0.00015357506587562037,0.7942983236069125
0.02,0.00015357506587562037,0.7942983236069125
0.02,0.007024038539258637,0.6099759129633522
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.011720202395771028,0.5645823566498004
0.02,0.0,0.8382854556329717
0.02,0.007024038539258637,0.6099759129633522
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.018534085581726183,0.5221875555699251
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0,0.8382854556329717
0.02,0.0,0.8382854556329717
0.02,0.044423608529074184,0.37093228147884705
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0,0.8382854556329717
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.018534085581726183,0.5221875555699251
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0,0.8382854556329717
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.00015357506587562037,0.7942983236069125
0.02,0.007024038539258637,0.6099759129633522
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.007024038539258637,0.6099759129633522
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.011720202395771028,0.5645823566498004
0.02,0.00015357506587562037,0.7942983236069125
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.00015357506587562037,0.7942983236069125
0.02,0.0035726410061591683,0.6575680175883865
0.02,0.044423608529074184,0.37093228147884705
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.011720202395771028,0.5645823566498004
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.011720202395771028,0.5645823566498004
0.02,0.018534085581726183,0.5221875555699251
0.02,0.00015357506587562037,0.7942983236069125
0.02,0.0004607251976268611,0.750392020562893
0.02,0.007024038539258637,0.6099759129633522
0.02,0.044423608529074184,0.37093228147884705
0.02,0.00015357506587562037,0.7942983236069125
0.02,0.0035726410061591683,0.6575680175883865
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0004607251976268611,0.750392020562893
0.02,0.00015357506587562037,0.7942983236069125
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0035726410061591683,0.6575680175883865
0.02,0.00015357506587562037,0.7942983236069125
0.02,0.0035726410061591683,0.6575680175883865
0.02,0.0035726410061591683,0.6575680175883865
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.00015357506587562037,0.7942983236069125
0.02,0.018534085581726183,0.5221875555699251
0.02,0.0,0.8382854556329717
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0,0.8382854556329717
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0035726410061591683,0.6575680175883865
0.02,0.0004607251976268611,0.750392020562893
0.02,0.044423608529074184,0.37093228147884705
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.011720202395771028,0.5645823566498004
0.02,0.018534085581726183,0.5221875555699251
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0,0.8382854556329717
0.02,0.007024038539258637,0.6099759129633522
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0,0.8382854556329717
0.02,0.0,0.8382854556329717
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.044423608529074184,0.37093228147884705
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0035726410061591683,0.6575680175883865
0.02,0.018534085581726183,0.5221875555699251
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0,0.8382854556329717
0.02,0.00015357506587562037,0.7942983236069125
0.02,0.0,0.8382854556329717
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.011720202395771028,0.5645823566498004
0.04,0.007024038539258637,0.6099759129633522
0.04,0.0,0.8382854556329717
0.04,0.0013983413892885432,0.7081588774470974
0.04,0.007024038539258637,0.6099759129633522
0.04,0.0004607251976268611,0.750392020562893
0.04,0.0004607251976268611,0.750392020562893
0.04,0.007024038539258637,0.6099759129633522
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.011720202395771028,0.5645823566498004
0.04,0.00030715013175124073,0.7943791525889523
0.04,0.007024038539258637,0.6099759129633522
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.0013983413892885432,0.7081588774470974
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.018534085581726183,0.5221875555699251
0.04,0.0013983413892885432,0.7081588774470974
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.00030715013175124073,0.7943791525889523
0.04,0.00030715013175124073,0.7943791525889523
0.04,0.05593365557154173,0.28314392408542005
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.00030715013175124073,0.7943791525889523
0.04,0.007024038539258637,0.6099759129633522
0.04,0.018534085581726183,0.5221875555699251
0.04,0.011720202395771028,0.5645823566498004
0.04,0.007024038539258637,0.6099759129633522
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.00030715013175124073,0.7943791525889523
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.0004607251976268611,0.750392020562893
0.04,0.007024038539258637,0.6099759129633522
0.04,0.011720202395771028,0.5645823566498004
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.007024038539258637,0.6099759129633522
0.04,0.011720202395771028,0.5645823566498004
0.04,0.011720202395771028,0.5645823566498004
0.04,0.0004607251976268611,0.750392020562893
0.04,0.007024038539258637,0.6099759129633522
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.0004607251976268611,0.750392020562893
0.04,0.007024038539258637,0.6099759129633522
0.04,0.05593365557154173,0.28314392408542005
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.007024038539258637,0.6099759129633522
0.04,0.011720202395771028,0.5645823566498004
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.011720202395771028,0.5645823566498004
0.04,0.018534085581726183,0.5221875555699251
0.04,0.0004607251976268611,0.750392020562893
0.04,0.0013983413892885432,0.7081588774470974
0.04,0.007024038539258637,0.6099759129633522
0.04,0.05593365557154173,0.28314392408542005
0.04,0.0004607251976268611,0.750392020562893
0.04,0.007024038539258637,0.6099759129633522
0.04,0.0013983413892885432,0.7081588774470974
0.04,0.0013983413892885432,0.7081588774470974
0.04,0.0004607251976268611,0.750392020562893
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.007024038539258637,0.6099759129633522
0.04,0.0004607251976268611,0.750392020562893
0.04,0.007024038539258637,0.6099759129633522
0.04,0.007024038539258637,0.6099759129633522
0.04,0.011720202395771028,0.5645823566498004
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.0004607251976268611,0.750392020562893
0.04,0.018534085581726183,0.5221875555699251
0.04,0.00030715013175124073,0.7943791525889523
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.00030715013175124073,0.7943791525889523
0.04,0.0013983413892885432,0.7081588774470974
0.04,0.007024038539258637,0.6099759129633522
0.04,0.0013983413892885432,0.7081588774470974
0.04,0.05593365557154173,0.28314392408542005
0.04,0.011720202395771028,0.5645823566498004
0.04,0.011720202395771028,0.5645823566498004
0.04,0.018534085581726183,0.5221875555699251
0.04,0.011720202395771028,0.5645823566498004
0.04,0.00030715013175124073,0.7943791525889523
0.04,0.007024038539258637,0.6099759129633522
0.04,0.007024038539258637,0.6099759129633522
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.0,0.8382854556329717
0.04,0.00030715013175124073,0.7943791525889523
0.04,0.011720202395771028,0.5645823566498004
0.04,0.05593365557154173,0.28314392408542005
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.007024038539258637,0.6099759129633522
0.04,0.007024038539258637,0.6099759129633522
0.04,0.018534085581726183,0.5221875555699251
0.04,0.011720202395771028,0.5645823566498004
0.04,0.0035726410061591683,0.6575680175883865
0.04,0.0013983413892885432,0.7081588774470974
0.04,0.00030715013175124073,0.7943791525889523
0.04,0.0004607251976268611,0.750392020562893
0.04,0.0,0.8382854556329717
0.04,0.007024038539258637,0.6099759129633522
0.04,0.011720202395771028,0.5645823566498004
0.06,0.024798331689810698,0.48219337525663203
0.06,0.0,0.8382854556329717
0.06,0.0013983413892885432,0.7081588774470974
0.06,0.007024038539258637,0.6099759129633522
0.06,0.0004607251976268611,0.750392020562893
0.06,0.0004607251976268611,0.750392020562893
0.06,0.007024038539258637,0.6099759129633522
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.011720202395771028,0.5645823566498004
0.06,0.0004607251976268611,0.750392020562893
0.06,0.007024038539258637,0.6099759129633522
0.06,0.010386524192114324,0.6151732165085113
0.06,0.0013983413892885432,0.7081588774470974
0.06,0.010386524192114324,0.6151732165085113
0.06,0.018534085581726183,0.5221875555699251
0.06,0.0013983413892885432,0.7081588774470974
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.0004607251976268611,0.750392020562893
0.06,0.0004607251976268611,0.750392020562893
0.06,0.07007872742850677,0.20994519795017702
0.06,0.010386524192114324,0.6151732165085113
0.06,0.0004607251976268611,0.750392020562893
0.06,0.024798331689810698,0.48219337525663203
0.06,0.018534085581726183,0.5221875555699251
0.06,0.017588386491860522,0.526285584959343
0.06,0.024798331689810698,0.48219337525663203
0.06,0.010386524192114324,0.6151732165085113
0.06,0.0004607251976268611,0.750392020562893
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.0004607251976268611,0.750392020562893
0.06,0.007024038539258637,0.6099759129633522
0.06,0.017588386491860522,0.526285584959343
0.06,0.010386524192114324,0.6151732165085113
0.06,0.007024038539258637,0.6099759129633522
0.06,0.017588386491860522,0.526285584959343
0.06,0.011720202395771028,0.5645823566498004
0.06,0.0004607251976268611,0.750392020562893
0.06,0.024798331689810698,0.48219337525663203
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.0004607251976268611,0.750392020562893
0.06,0.007024038539258637,0.6099759129633522
0.06,0.07007872742850677,0.20994519795017702
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.024798331689810698,0.48219337525663203
0.06,0.011720202395771028,0.5645823566498004
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.010386524192114324,0.6151732165085113
0.06,0.011720202395771028,0.5645823566498004
0.06,0.018534085581726183,0.5221875555699251
0.06,0.0004607251976268611,0.750392020562893
0.06,0.0013983413892885432,0.7081588774470974
0.06,0.007024038539258637,0.6099759129633522
0.06,0.07007872742850677,0.20994519795017702
0.06,0.0004607251976268611,0.750392020562893
0.06,0.007024038539258637,0.6099759129633522
0.06,0.0013983413892885432,0.7081588774470974
0.06,0.0013983413892885432,0.7081588774470974
0.06,0.0004607251976268611,0.750392020562893
0.06,0.010386524192114324,0.6151732165085113
0.06,0.007024038539258637,0.6099759129633522
0.06,0.0004607251976268611,0.750392020562893
0.06,0.007024038539258637,0.6099759129633522
0.06,0.007024038539258637,0.6099759129633522
0.06,0.017588386491860522,0.526285584959343
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.0004607251976268611,0.750392020562893
0.06,0.018534085581726183,0.5221875555699251
0.06,0.0004607251976268611,0.750392020562893
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.0004607251976268611,0.750392020562893
0.06,0.0013983413892885432,0.7081588774470974
0.06,0.007024038539258637,0.6099759129633522
0.06,0.0013983413892885432,0.7081588774470974
0.06,0.07007872742850677,0.20994519795017702
0.06,0.017588386491860522,0.526285584959343
0.06,0.011720202395771028,0.5645823566498004
0.06,0.018534085581726183,0.5221875555699251
0.06,0.017588386491860522,0.526285584959343
0.06,0.0004607251976268611,0.750392020562893
0.06,0.007024038539258637,0.6099759129633522
0.06,0.024798331689810698,0.48219337525663203
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.0,0.8382854556329717
0.06,0.0004607251976268611,0.750392020562893
0.06,0.017588386491860522,0.526285584959343
0.06,0.07007872742850677,0.20994519795017702
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.024798331689810698,0.48219337525663203
0.06,0.007024038539258637,0.6099759129633522
0.06,0.018534085581726183,0.5221875555699251
0.06,0.017588386491860522,0.526285584959343
0.06,0.0035726410061591683,0.6575680175883865
0.06,0.0013983413892885432,0.7081588774470974
0.06,0.0004607251976268611,0.750392020562893
0.06,0.0004607251976268611,0.750392020562893
0.06,0.0,0.8382854556329717
0.06,0.024798331689810698,0.48219337525663203
0.06,0.011720202395771028,0.5645823566498004
