,Prevalence,FailureToTreat,UnnecessaryUse,Total,UnnecessaryUsePercentage,FailureToTreatPercentage,Sample
0,0.0,0,103711,123718,0.8382854556329717,0.0,1
1,0.002,0,103711,123718,0.8382854556329717,0.0,1
2,0.004,0,103711,123718,0.8382854556329717,0.0,1
3,0.006,0,103711,123718,0.8382854556329717,0.0,1
4,0.008,0,103711,123718,0.8382854556329717,0.0,1
5,0.01,19,98269,123718,0.7942983236069125,0.00015357506587562037,1
6,0.012,19,98269,123718,0.7942983236069125,0.00015357506587562037,1
7,0.014,19,98269,123718,0.7942983236069125,0.00015357506587562037,1
8,0.016,57,92837,123718,0.750392020562893,0.0004607251976268611,1
9,0.018000000000000002,173,87612,123718,0.7081588774470974,0.0013983413892885432,1
10,0.02,173,87612,123718,0.7081588774470974,0.0013983413892885432,1
11,0.022,173,87612,123718,0.7081588774470974,0.0013983413892885432,1
12,0.024,173,87612,123718,0.7081588774470974,0.0013983413892885432,1
13,0.026000000000000002,173,87612,123718,0.7081588774470974,0.0013983413892885432,1
14,0.028,173,87612,123718,0.7081588774470974,0.0013983413892885432,1
15,0.03,173,87612,123718,0.7081588774470974,0.0013983413892885432,1
16,0.032,173,87612,123718,0.7081588774470974,0.0013983413892885432,1
17,0.034,173,87612,123718,0.7081588774470974,0.0013983413892885432,1
18,0.036000000000000004,173,87612,123718,0.7081588774470974,0.0013983413892885432,1
19,0.038,173,87612,123718,0.7081588774470974,0.0013983413892885432,1
20,0.04,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
21,0.042,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
22,0.044,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
23,0.046,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
24,0.048,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
25,0.05,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
26,0.052000000000000005,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
27,0.054,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
28,0.056,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
29,0.058,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
30,0.06,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
31,0.062,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
32,0.064,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
33,0.066,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
34,0.068,442,81353,123718,0.6575680175883865,0.0035726410061591683,1
35,0.07,869,75465,123718,0.6099759129633522,0.007024038539258637,1
36,0.07200000000000001,869,75465,123718,0.6099759129633522,0.007024038539258637,1
37,0.074,869,75465,123718,0.6099759129633522,0.007024038539258637,1
38,0.076,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
39,0.078,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
40,0.08,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
41,0.082,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
42,0.084,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
43,0.08600000000000001,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
44,0.088,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
45,0.09,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
46,0.092,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
47,0.094,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
48,0.096,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
49,0.098,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
50,0.1,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
51,0.10200000000000001,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
52,0.10400000000000001,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
53,0.106,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
54,0.108,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
55,0.11,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
56,0.112,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
57,0.114,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
58,0.116,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
59,0.11800000000000001,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
60,0.12,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
61,0.122,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
62,0.124,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
63,0.126,1450,69849,123718,0.5645823566498004,0.011720202395771028,1
64,0.128,1991,64766,123718,0.5234969850789699,0.016093050324124218,1
65,0.13,1991,64766,123718,0.5234969850789699,0.016093050324124218,1
66,0.132,1991,64766,123718,0.5234969850789699,0.016093050324124218,1
67,0.134,1991,64766,123718,0.5234969850789699,0.016093050324124218,1
68,0.136,1991,64766,123718,0.5234969850789699,0.016093050324124218,1
69,0.138,1991,64766,123718,0.5234969850789699,0.016093050324124218,1
70,0.14,2800,60094,123718,0.48573368466997524,0.022632114971144052,1
71,0.14200000000000002,2800,60094,123718,0.48573368466997524,0.022632114971144052,1
