Prevalence,FailureToTreatPercentage,UnnecessaryUsePercentage
0.0,0.0,0.8382854556329717
0.002,0.00010168285940606864,0.8194165764076367
0.004,0.00019584862348243586,0.8054046298840912
0.006,0.0002546921224074104,0.7975436072358104
0.008,0.00031781955738049435,0.7848105368660987
0.01,0.00044641846780581646,0.7715581402867813
0.012,0.0005038878740361144,0.7667945650592476
0.014,0.0005363002958340743,0.7628589210947477
0.016,0.0006634442845826799,0.7539224688404275
0.018000000000000002,0.0008391664915372056,0.7446513846004623
0.02,0.0008857239851921304,0.7407500121243473
0.022,0.0009975104673531742,0.7353309138524708
0.024,0.001097091773226208,0.7308902504081862
0.026000000000000002,0.0011903684185001373,0.7264328553646194
0.028,0.0012805735624565545,0.7224145233514929
0.03,0.0013868636738388917,0.7196563151683668
0.032,0.0014743206324059554,0.7169684281996151
0.034,0.0015365589485766015,0.7151119481401251
0.036000000000000004,0.0016584490534926203,0.711173798477182
0.038,0.0017705588515818233,0.7075444155256307
0.04,0.001892448956497842,0.705158424804798
0.042,0.002051843709080328,0.7010831083593332
0.044,0.0021358250214196803,0.698720719701256
0.046,0.0022453482920836093,0.6964183061478524
0.048,0.0023639244087359963,0.6936855590940688
0.05,0.0024572818829919655,0.6909008390048335
0.052000000000000005,0.0025634103364102234,0.6881461064679351
0.054,0.002754409220970271,0.6849138363051455
0.056,0.0029040236667259413,0.6811472865710729
0.058,0.003025509626731761,0.678647731130474
0.06,0.0030911427601480784,0.6772435700544787
0.062,0.0031878950516497197,0.6749111689487383
0.064,0.003312856657883251,0.6729694951421782
0.066,0.0035656897137037458,0.6677671802001325
0.068,0.0037469891204190177,0.664949239399279
0.07,0.004091563070854686,0.6602795874488757
0.07200000000000001,0.0043165101278714495,0.6569452302817699
0.074,0.004613718294831795,0.652615949174736
0.076,0.004925394849577264,0.6485003798962156
0.078,0.00507242276790766,0.6460607995602904
0.08,0.005414975993792335,0.6423296529203512
0.082,0.005634103364102232,0.640081071468986
0.084,0.006097253431190287,0.6344302365056014
0.08600000000000001,0.006336749704974215,0.6321465752760309
0.088,0.006458478151926155,0.6302479833168981
0.09,0.006635089477683118,0.6278515656573821
0.092,0.006838212709549136,0.6255622463990689
0.094,0.007409673612570523,0.6201935854119853
0.096,0.007747377099532809,0.617071404322734
0.098,0.007978547988166636,0.6144461598150633
0.1,0.008512908388431755,0.6091508915436719
0.10200000000000001,0.008851258507250359,0.6066477796278634
0.10400000000000001,0.009292423091223589,0.6020840944729142
0.106,0.010152524289109104,0.5949072083286183
0.108,0.010487883735592235,0.5919646292374594
0.11,0.01088628978806641,0.5890743464976802
0.112,0.011144780872629689,0.5870381027821335
0.114,0.011863431351945553,0.5814630854039025
0.116,0.01208716597423172,0.5797934819508883
0.11800000000000001,0.012533341955091417,0.5753275190352253
0.12,0.013064145880146785,0.5710886855590941
0.122,0.013614348760891706,0.5663533196462924
0.124,0.014184193084272297,0.5610605570733442
0.126,0.014851436331010848,0.5554975023844549
0.128,0.015499038135113727,0.5496142032687241
0.13,0.016446030488692025,0.5419428054123087
