Threshold,Slope,Lambda
0.39,0.0,inf
0.392,0.0,inf
0.394,0.0,inf
0.396,0.0,inf
0.398,0.0,inf
0.4,0.0,inf
0.402,0.0,inf
0.404,0.0,inf
0.406,0.0,inf
0.40800000000000003,0.0,inf
0.41000000000000003,0.0,inf
0.41200000000000003,0.0,inf
0.41400000000000003,0.0,inf
0.41600000000000004,0.0,inf
0.418,0.0,inf
0.42,0.0,inf
0.422,0.0,inf
0.424,0.0,inf
0.426,0.0,inf
0.428,0.0,inf
0.43,0.0,inf
0.432,0.0,inf
0.434,0.0,inf
0.436,0.0,inf
0.438,0.0,inf
0.44,0.0,inf
0.442,0.0,inf
0.444,0.0,inf
0.446,0.0,inf
0.448,0.0,inf
0.45,0.0,inf
0.452,0.0,inf
0.454,0.0,inf
0.456,0.0,inf
0.458,0.0,inf
0.46,0.0,inf
0.462,0.0,inf
0.464,0.0,inf
0.466,0.0,inf
0.468,0.0,inf
0.47000000000000003,0.0,inf
0.47200000000000003,0.0,inf
0.47400000000000003,0.0,inf
0.47600000000000003,0.0,inf
0.47800000000000004,0.0,inf
0.48,0.0,inf
0.482,0.0,inf
0.484,0.0,inf
0.486,0.0,inf
0.488,0.0,inf
0.49,0.0,inf
0.492,0.0,inf
0.494,0.0,inf
0.496,0.0,inf
0.498,0.0,inf
0.5,0.0,inf
0.502,0.0,inf
0.504,0.0,inf
0.506,0.0,inf
0.508,0.0,inf
0.51,0.0,inf
0.512,0.0,inf
0.514,0.0,inf
0.516,0.0,inf
0.518,0.0,inf
0.52,0.0,inf
0.522,0.0,inf
0.524,0.0,inf
0.526,0.0,inf
0.528,0.0,inf
0.53,0.0,inf
0.532,0.0,inf
0.534,0.0,inf
0.536,0.0,inf
0.538,0.0,inf
0.54,0.0,inf
0.542,0.0,inf
0.544,0.0,inf
0.546,0.0,inf
0.548,0.0,inf
0.55,0.0,inf
0.552,0.0,inf
0.554,0.0,inf
0.556,0.0,inf
0.558,0.0,inf
0.56,0.0,inf
0.562,0.0,inf
0.5640000000000001,0.0,inf
0.5660000000000001,0.0,inf
0.5680000000000001,0.0,inf
0.5700000000000001,0.0,inf
0.5720000000000001,0.0,inf
0.5740000000000001,0.0,inf
0.5760000000000001,0.0,inf
0.578,0.0,inf
0.58,0.0,inf
0.582,0.0,inf
0.584,0.0,inf
0.586,0.0,inf
0.588,0.0,inf
0.59,0.0,inf
0.592,0.0,inf
0.594,0.0,inf
0.596,0.0,inf
0.598,0.0,inf
0.6,0.0,inf
0.602,0.0,inf
0.604,0.0,inf
0.606,0.0,inf
0.608,0.0,inf
0.61,0.0,inf
0.612,0.0,inf
0.614,0.0,inf
0.616,0.0,inf
0.618,0.0,inf
0.62,0.0,inf
0.622,0.0,inf
0.624,0.0,inf
0.626,0.0,inf
0.628,0.0,inf
0.63,0.0,inf
0.632,0.0,inf
0.634,0.0,inf
0.636,0.0,inf
0.638,0.0,inf
0.64,0.0,inf
0.642,0.0,inf
0.644,0.0,inf
0.646,0.0,inf
0.648,0.0,inf
0.65,0.0,inf
0.652,0.0,inf
0.654,0.0,inf
0.656,0.0,inf
0.658,0.0,inf
0.66,0.0,inf
0.662,0.0,inf
0.664,0.0,inf
0.666,0.0,inf
0.668,0.0,inf
0.67,0.0,inf
0.672,0.0,inf
0.674,0.0,inf
0.676,0.0,inf
0.678,0.0,inf
0.68,0.0,inf
0.682,0.0,inf
0.684,0.0,inf
0.686,0.0,inf
0.6880000000000001,0.0,inf
0.6900000000000001,0.0,inf
0.6920000000000001,0.0,inf
0.6940000000000001,0.0,inf
0.6960000000000001,0.0,inf
0.6980000000000001,0.0,inf
0.7000000000000001,0.0,inf
0.7020000000000001,0.0,inf
0.704,0.0,inf
0.706,0.0,inf
0.708,0.0,inf
0.71,0.0,inf
0.712,0.0,inf
0.714,0.0,inf
0.716,0.0,inf
0.718,0.0,inf
0.72,0.0,inf
0.722,0.0,inf
0.724,0.0,inf
0.726,0.0,inf
0.728,0.0,inf
0.73,0.0,inf
0.732,0.0,inf
0.734,0.0,inf
0.736,0.0,inf
0.738,0.0,inf
0.74,0.0,inf
0.742,0.0,inf
0.744,0.0,inf
0.746,0.0,inf
0.748,0.0,inf
0.75,0.0,inf
0.752,0.0,inf
0.754,0.0,inf
0.756,0.0,inf
0.758,0.0,inf
0.76,0.0,inf
0.762,0.0,inf
0.764,0.0,inf
0.766,0.0,inf
0.768,0.0,inf
0.77,0.0,inf
0.772,0.0,inf
0.774,0.0,inf
0.776,0.0,inf
0.778,0.0,inf
0.78,0.0,inf
0.782,0.0,inf
0.784,0.0,inf
0.786,0.0,inf
0.788,0.0,inf
0.79,0.0,inf
0.792,0.0,inf
0.794,0.0,inf
0.796,0.0,inf
0.798,0.0,inf
0.8,0.0,inf
0.802,0.0,inf
0.804,0.0,inf
0.806,0.0,inf
0.808,0.0,inf
0.81,0.0,inf
0.812,0.0,inf
0.8140000000000001,0.0,inf
0.8160000000000001,0.0,inf
0.8180000000000001,0.0,inf
0.8200000000000001,0.0,inf
0.8220000000000001,0.0,inf
0.8240000000000001,0.0,inf
0.8260000000000001,0.0,inf
0.8280000000000001,0.0,inf
0.8300000000000001,0.0,inf
0.8320000000000001,0.0,inf
0.834,0.0,inf
0.836,0.0,inf
0.838,0.0,inf
0.84,0.0,inf
0.842,0.0,inf
0.844,0.0,inf
0.846,0.0,inf
0.848,0.0,inf
0.85,0.0,inf
0.852,0.0,inf
0.854,0.0,inf
0.856,0.0,inf
0.858,0.0,inf
0.86,0.0,inf
0.862,0.0,inf
0.864,0.0,inf
0.866,0.0,inf
0.868,0.0,inf
0.87,0.0,inf
0.872,0.0,inf
0.874,0.0,inf
0.876,0.0,inf
0.878,0.0,inf
0.88,0.0,inf
0.882,0.0,inf
0.884,0.0,inf
0.886,0.0,inf
0.888,0.0,inf
0.89,0.0,inf
0.892,0.0,inf
0.894,0.0,inf
0.896,0.0,inf
0.898,0.0,inf
0.9,0.0,inf
0.902,0.0,inf
0.904,0.0,inf
0.906,0.0,inf
0.908,0.0,inf
0.91,0.0,inf
0.912,0.0,inf
0.914,0.0,inf
0.916,0.0,inf
0.918,0.0,inf
0.92,0.0,inf
0.922,0.0,inf
0.924,0.0,inf
0.926,0.0,inf
0.928,0.0,inf
0.93,0.0,inf
0.932,0.0,inf
0.934,0.0,inf
0.936,0.0,inf
0.9380000000000001,0.0,inf
0.9400000000000001,0.0,inf
0.9420000000000001,0.0,inf
0.9440000000000001,0.0,inf
0.9460000000000001,0.0,inf
0.9480000000000001,0.0,inf
0.9500000000000001,0.0,inf
0.9520000000000001,0.0,inf
0.9540000000000001,0.0,inf
0.9560000000000001,0.0,inf
0.9580000000000001,0.0,inf
0.96,0.0,inf
0.962,0.0,inf
0.964,0.0,inf
0.966,0.0,inf
0.968,0.0,inf
0.97,0.0,inf
0.972,0.0,inf
0.974,0.0,inf
0.976,0.0,inf
0.978,0.0,inf
0.98,0.0,inf
0.982,0.0,inf
0.984,0.0,inf
0.986,0.0,inf
0.988,0.0,inf
0.99,0.0,inf
0.992,0.0,inf
0.994,0.0,inf
0.996,0.0,inf
0.998,0.0,inf
1.0,0.0,inf
