Prevalence,FailureToTreatPercentage,UnnecessaryUsePercentage
0.02,0.0072665254853780375,0.6698621057566401
0.02,0.00030715013175124073,0.7943791525889523
0.02,0.006094505245800934,0.6627653211335457
0.02,0.0010911912575373025,0.7520651804911169
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0010911912575373025,0.7520651804911169
0.02,0.005771189317641734,0.667073505876267
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.008212224575243699,0.6657640763672222
0.02,0.01284372524612425,0.6735964047268789
0.02,0.018509836887114245,0.532792318013547
0.02,0.009222586850741201,0.6194814012512326
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.003912122730726329,0.7027999159378587
0.02,0.0035726410061591683,0.6575680175883865
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.004542588790636771,0.7044730758660825
0.02,0.009392327713024782,0.6591603485345705
0.02,0.0034513975330994684,0.7906933510079374
0.02,0.002635024814497486,0.6998011607041821
0.02,0.003912122730726329,0.7027999159378587
0.02,0.01248807772514913,0.6150762217300635
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.018283515737402802,0.6253415024491181
0.02,0.01712766129423366,0.5789941641474967
0.02,0.0069593753536267965,0.7137684088006596
0.02,0.0010911912575373025,0.7520651804911169
0.02,0.006813883185955156,0.7958906545530966
0.02,0.0004607251976268611,0.750392020562893
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.007129116215910377,0.667906044391277
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.003912122730726329,0.7027999159378587
0.02,0.002635024814497486,0.6998011607041821
0.02,0.00826880486267156,0.6121744612748347
0.02,0.012560823808984949,0.7182382515074606
0.02,0.010386524192114324,0.6151732165085113
0.02,0.009303415832781003,0.617315184532566
0.02,0.011388803569407847,0.6228034724130684
0.02,0.011825280072422768,0.6225124880777252
0.02,0.011825280072422768,0.6225124880777252
0.02,0.0036049725989750884,0.7467062189818782
0.02,0.003912122730726329,0.7027999159378587
0.02,0.013781341437785933,0.6224882393831133
0.02,0.013878336216233692,0.6698621057566401
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.007129116215910377,0.667906044391277
0.02,0.0072665254853780375,0.6698621057566401
0.02,0.002635024814497486,0.6998011607041821
0.02,0.0035726410061591683,0.6575680175883865
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0010911912575373025,0.7520651804911169
0.02,0.002635024814497486,0.6998011607041821
0.02,0.003265490874407928,0.701474320632406
0.02,0.0035726410061591683,0.6575680175883865
0.02,0.0072665254853780375,0.6698621057566401
0.02,0.013288284647343152,0.610840783071178
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.006086422347596954,0.6522090560791477
0.02,0.011663622108343168,0.6181719717421879
0.02,0.006716888407507396,0.6538822160073716
0.02,0.004849738922388012,0.6605667728220631
0.02,0.0013983413892885432,0.7081588774470974
0.02,0.0069593753536267965,0.7137684088006596
0.02,0.007024038539258637,0.6099759129633522
0.02,0.006094505245800934,0.6627653211335457
0.02,0.009303415832781003,0.617315184532566
0.02,0.009545902778900403,0.6151732165085113
0.02,0.0035726410061591683,0.6575680175883865
0.02,0.002174299616870625,0.7876945957742608
0.02,0.006094505245800934,0.6627653211335457
0.02,0.011906109054462568,0.7158295478426745
0.02,0.0035726410061591683,0.6575680175883865
