FailureToTreatPercentage,UnnecessaryUsePercentage
0.0,0.8382854556329719
2.03742920728323e-05,0.8335662177963864
7.733178141687817e-05,0.8208191694013806
0.00014483475861771665,0.8053160790399673
0.0002598544000603523,0.7802320761732328
0.00030342122137980463,0.7737961762502896
0.0003634933208317841,0.7668001692020023
0.0004379206474940321,0.7578745156996826
0.0005150422735576067,0.7499100696745825
0.0005694886758596161,0.7454929759614608
0.000643592686593705,0.7424076151678279
0.0006935719404883149,0.7402510871498085
0.0007335499550051999,0.7385450459916907
0.0007976257833675509,0.7360060783394494
0.0008919316510127871,0.7320423274435948
0.0009691610490524149,0.7288161895062426
0.0010323585358099332,0.7264746062281424
0.0011080845147836207,0.7234740080936753
0.0012237615652801802,0.7188632750825803
0.0013571132198494423,0.7135826799657284
0.0014715508926213916,0.7097221854001303
0.0015600155191645515,0.7067790836148876
0.0016615259434089355,0.7035324366704925
0.0017765348076539658,0.7000425537647444
0.0018923950705098153,0.697072056343189
0.001980272339783486,0.6948586085560171
0.00211464243952645,0.6919066048055524
0.0022399704704785615,0.6892304164848014
0.00235729104360993,0.6866096876229273
0.002492512541963713,0.6836596830426184
0.002633693830593231,0.6807236726533998
0.0027899685844689805,0.6774146634550617
0.0029795933763343517,0.6738468883536214
0.003128275594497163,0.6707799673450912
0.003295623918912365,0.6677554276661439
0.003493762696885929,0.6642076442662614
0.0036666073920798375,0.6611227145605328
0.003848036125166373,0.6579460655145842
0.004063413030709624,0.6544749241554718
0.004308098525140507,0.6503685639923051
0.004539484957726442,0.6465280234080732
0.004733576897999213,0.6433786945580541
0.004923551948786757,0.6403677395366884
0.005139209061467746,0.6371933375364404
0.005383889167299827,0.6338618848240892
0.00565300656870194,0.6301788907030504
0.005843213329237999,0.6278632589167839
0.006038582367426998,0.625345737887777
0.006261858958814939,0.6224862725445502
0.006542804334588878,0.6190894291857288
0.006806646297763193,0.6160147809265157
0.00704403024081648,0.6132866087931156
0.007304439666553506,0.610336043798531
0.007623697979814308,0.6067019835432192
0.007924926041481433,0.603468614106274
0.008204087791051692,0.6004737494409329
0.008561362668865214,0.5968169600758715
0.009022303410444183,0.5921933914224284
0.00940958739498968,0.5883109652597035
0.009839624522435432,0.5841046735317416
0.010257866007102172,0.5802003534920814
0.010712432036297601,0.5759976074621316
0.011232404877759637,0.5713586058617178
0.011832058929716505,0.5661649773409421
0.012466464055351687,0.5606996017825485
0.01309995850778922,0.5552221126540466
0.013761161135269996,0.5497942363547207
0.014393540147755379,0.544708627685543
0.01504608329696029,0.5393750195336706
0.0158367200676808,0.5333781341437785
0.016567721215452347,0.5277187744170883
0.01737912025735948,0.5216644411753611
0.018216298355938507,0.5154412777445481
0.019028505687666036,0.5095639815278833
0.019912322108882028,0.503394369991971
0.020740749123005546,0.4975530750039068
0.021757011914191954,0.4908903042941744
0.02284009333053126,0.4837301551377595
0.023944125619015287,0.476616908345323
0.02512229963842502,0.46909921488115447
0.026325072611368867,0.4616362857466173
0.027578616962231312,0.45381610328866184
0.02889872128550413,0.4457099856124412
0.03019002893677557,0.43773378705335253
0.031417029049936145,0.43023962560015516
0.03279423096612188,0.42185393664085524
0.034234571094478305,0.4130636124088653
0.03571121960156701,0.4041041400604601
0.037190891112583994,0.3951430942412045
0.038557709198877015,0.386902875895181
0.0400274118021091,0.3781149226466642
0.04145046530550661,0.3695136358492701
0.04314713030170765,0.359279743718241
0.04472372115078917,0.34985247094198096
0.046299078010744864,0.3405164433092463
0.04764295144333619,0.3324531003303211
0.0490312862046482,0.3241768915328947
0.050425720859804825,0.31575450621574874
0.05161207477219698,0.30879968961670895
0.052823598829596335,0.30158902773511803
0.05377934765622895,0.29592469972033175
0.05495687504378236,0.2888411818274894
0.05609294255214816,0.2822723343948873
0.05706040080397894,0.27672931451634636
0.05797242653992682,0.27148261907456206
0.058829881935800236,0.2665081556442878
0.05985092441412459,0.260843595919753
0.060665136304606716,0.25659936306762154
0.061578352920889985,0.25169529090350634
0.06225665896097037,0.24809845508872327
0.0630278267242169,0.24426437004585697
0.06395256955333904,0.23990604977987573
0.06482293603194361,0.23586465456387376
0.06563173238062907,0.2322351584517478
0.06641116086584005,0.22869310852099128
0.06739291507029427,0.2245380192588521
0.06829270868696014,0.22071376302020185
0.06915310625777979,0.2171769076986911
0.07004212267684035,0.2136466372449172
0.07082729540837496,0.21064387289373143
0.07196855752598652,0.2063297714695248
0.07287625621709587,0.20297009327664528
0.07379356816846916,0.199560522047452
0.07482521540923714,0.19574491450988
0.07570407970815349,0.19261959725612549
0.07671880674868115,0.18900600289906613
0.0775296615421092,0.1863090576957274
0.0784754414609569,0.1830566665050087
0.07944279732941044,0.17995662716823746
0.08046388291652522,0.17665323288985163
0.08133886203570485,0.17375150476621562
0.08217483847675089,0.17118165505423624
0.08309340058304639,0.16847025762890874
0.08402328413542627,0.16578405729158247
0.08503306983085188,0.16294409328742246
0.08575836984109021,0.16089180771324033
0.08664111393114449,0.15849482963944886
